user_id,total_observations,post_warmup_valid_obs,max_consecutive_post_warmup_days,hmm_eligible,exclusion_reason
621e2e8e67b776a24055b564,67,61,48,True,None
621e2eaf67b776a2406b14ac,86,80,80,True,None
621e2ed667b776a24085d8d1,86,80,80,True,None
621e2ef567b776a24099f889,3,0,0,False,Failed eligibility (total=3<14 or valid=0<7)
621e2efa67b776a2409dd1c3,78,72,44,True,None
621e2f1b67b776a240b3d87c,77,71,71,True,None
621e2f3967b776a240c654db,68,62,57,True,None
621e2f5767b776a240d8f9d6,25,19,19,True,None
621e2f6167b776a240e082a9,63,57,36,True,None
621e2f7a67b776a240f14425,68,62,49,True,None
621e2f9167b776a240011ccb,89,83,83,True,None
621e2fb367b776a24015accd,65,59,59,True,None
621e2fce67b776a240279baa,64,58,58,True,None
621e2ff067b776a2403eb737,62,56,56,True,None
621e300767b776a2404dc717,27,21,11,True,None
621e301367b776a24057738e,3,0,0,False,Failed eligibility (total=3<14 or valid=0<7)
621e301e67b776a240608a72,94,88,14,True,None
621e309267b776a240ae1cdb,20,14,14,True,None
621e309b67b776a240b532b0,83,77,32,True,None
621e30b267b776a240c5e13f,61,55,45,True,None
621e30c867b776a240d4aa6c,66,60,41,True,None
621e30e467b776a240e817c7,53,47,24,True,None
621e30f467b776a240f22944,70,64,64,True,None
621e310d67b776a24003096d,93,87,41,True,None
621e312a67b776a240164d59,76,70,53,True,None
621e314867b776a24029ebf9,69,63,41,True,None
621e320b67b776a240d36a07,73,67,18,True,None
621e322367b776a240e44e9b,54,48,48,True,None
621e323667b776a240f19134,65,59,59,True,None
621e324e67b776a2400191cb,70,64,64,True,None
621e326767b776a24012e179,69,63,63,True,None
621e328667b776a240281372,8,2,2,False,Failed eligibility (total=8<14 or valid=2<7)
621e329067b776a2402ffad2,65,59,59,True,None
621e32af67b776a24045b4cf,63,57,57,True,None
621e32d067b776a2405b7d54,24,18,12,True,None
621e32d967b776a240627414,30,24,19,True,None
621e32e667b776a2406d2f1c,95,89,89,True,None
621e331067b776a24085dd3f,50,44,34,True,None
621e332267b776a24092a584,29,23,23,True,None
621e333567b776a240a0c217,3,0,0,False,Failed eligibility (total=3<14 or valid=0<7)
621e333967b776a240a3cd06,103,97,60,True,None
621e335a67b776a240bb12ff,68,62,62,True,None
621e337667b776a240ce78ab,87,81,81,True,None
621e339967b776a240e502de,57,51,51,True,None
621e33b067b776a240f39e56,68,62,62,True,None
621e33cf67b776a240087de9,77,71,71,True,None
621e33ed67b776a2401cf5f7,66,60,60,True,None
621e340467b776a2402d7982,9,3,3,False,Failed eligibility (total=9<14 or valid=3<7)
621e341067b776a24037b105,70,64,46,True,None
621e342e67b776a2404ce460,76,70,12,True,None
621e345267b776a240691064,22,16,9,True,None
621e346f67b776a24081744f,243,237,237,True,None
621e34ca67b776a240be3b69,49,43,35,True,None
621e34db67b776a240c9c2be,33,27,18,True,None
621e34ec67b776a240d60873,16,10,10,True,None
621e34f767b776a240de4e1a,5,0,0,False,Failed eligibility (total=5<14 or valid=0<7)
621e34ff67b776a240e446d6,64,58,58,True,None
621e351a67b776a240f6204b,111,105,105,True,None
621e356967b776a24027bd9f,69,63,63,True,None
621e360b67b776a24039709f,66,60,37,True,None
621e362467b776a2404ad513,65,59,51,True,None
621e366567b776a24076a727,65,59,59,True,None
621e367e67b776a24087d75d,133,127,46,True,None
621e36bb67b776a240b40d64,4,0,0,False,Failed eligibility (total=4<14 or valid=0<7)
621e36c267b776a240ba2756,62,56,37,True,None
621e36dd67b776a240ce9a45,9,3,3,False,Failed eligibility (total=9<14 or valid=3<7)
621e36f967b776a240e5e7c9,62,56,39,True,None
621e375367b776a24021e950,15,9,4,True,None
621e375b67b776a240290cdc,71,65,65,True,None
